index, x, y, z, r, theta, equdelta, wascorrected, original x, original y, original z
290, -0.18146718146717833, 0.24776131468694906, 1.0095164265556023, 235.41610110286902, -0.2203780991162202, 2.842170943040401E-14, False, 229.7225314222714, -51.461628573333975, 265.8636527513588
291, -0.12741312741312405, 0.41905968353763234, 1.10126609215416, 238.48075825823366, -0.12150466806568566, 1.4210854715202004E-14, False, 236.7225314222714, -28.90527938722994, 290.0266089877175
292, -0.37451737451737255, 0.3908415410913588, 1.0159892445653664, 207.3051978219497, -0.15801414731596047, 2.842170943040401E-14, False, 204.72253142227135, -32.6210081397681, 267.5683174743909
293, -0.505791505791515, 0.3798781077994573, 1.1086238873950158, 190.78823284787433, -0.17950948301811898, 9.237055564881302E-13, False, 187.72253142226995, -34.06465895366607, 291.96433904091225
294, -0.3204633204633226, 0.2614232787007118, 1.152029418877128, 217.46909664251598, -0.23039943147320485, 1.2789769243681803E-12, False, 211.72253142227078, -49.6626387001085, 303.3955083075897
295, -0.2586872586872514, 0.12885937837876882, 1.1677721671933265, 229.7452535985228, -0.2964668961177809, 1.0800249583553523E-12, False, 219.72253142227197, -67.118482822828, 307.5414780626042
296, -0.24324324324324076, -0.3177669646585498, 1.206911158490721, 254.9885521359696, -0.5165279056718984, 2.842170943040401E-14, False, 221.72253142227135, -125.9296660048695, 317.84902226654765
297, -0.359073359073357, 0.09457351367470213, 1.277948985370836, 218.7819017821308, -0.33356998593587667, 2.842170943040401E-14, False, 206.72253142227135, -71.6332014485878, 336.55736186465106
298, -0.6216216216216204, -0.05623190915536158, 1.2163556432042528, 195.4576373199211, -0.4871240730532061, 0, False, 172.72253142227137, -91.49106582485686, 320.3362974987706
299, -0.5154440154440135, -0.18003352836398923, 1.2067672684067656, 216.37432856916934, -0.5387727073645228, 1.289919282498886E-10, True, 185.72253142235536, -111.01797775960016, 304.93540238612525
300, -0.409266409266407, -0.30383514757261676, 1.1971788936092786, 335.941833690532, -0.9451946589258935, 2.842170943040401E-14, True, 196.72253142227143, -272.3181250930068, 341.6833962292513
301, -0.3030888030888004, -0.4276367667812443, 1.187590518811792, 242.9566668604648, -0.49562118281642387, 2.842170943040401E-14, True, 213.7225314222714, -115.54488969401929, 319.07421863003384
302, -0.19691119691119363, -0.5514383859898718, 1.1780021440143047, 276.42756091885076, -0.6027046271362433, 2.842170943040401E-14, False, 227.72253142227143, -156.6992186265699, 310.2356184783938
303, -0.11196911196910897, -0.45716184698733675, 1.1840830293687494, 278.93836182037177, -0.5436519117306792, 4.263256414560601E-14, False, 238.72253142227135, -144.2850050641968, 311.8370648241565
304, -0.08397683397683064, -0.4752772092926142, 1.1830248792931461, 315.1315139098653, -0.5850368943693742, 1.7621459846850485E-12, True, 262.7225314222698, -174.0251204343732, 317.74119919252314
305, -0.05598455598455232, -0.4933925715978915, 1.181966729217543, 400, 0, 166.65131945676174, True, 400, 0, 315.7764990521067
306, -0.027992277992273995, -0.5115079339031692, 1.1809085791419398, 314.352753587588, -0.5812862642981121, 3.240074875066057E-12, True, 262.7225314222685, -172.61090687199913, 305.7699877474897
307, 4.218847493575595E-15, -0.5296232962084466, 1.1798504290663367, 313.8733629878498, -0.5731083673359842, 5.684341886080802E-14, True, 263.7225314222713, -170.19669330962827, 302.2493672000385
